order_id,channel,days_to_delivery,order_value,review,satisfied
A1000,web,5,82.72,Shipping was quick and the quality is excellent. Would order again.,yes
A1001,store,3,71.77,Delivery was fast and the quality is excellent. Would order again.,yes
A1002,phone,6,54.33,Livré à la mauvaise adresse et il ne fonctionne pas du tout. Toujours pas de remboursement.,no
A1003,phone,3,91.38,Trois semaines d'attente et le produit est tombé en panne. Toujours pas de remboursement.,no
A1004,phone,8,83.87,Shipping took forever and the product stopped working. Asking for a refund now.,no
A1005,web,7,9.0,Delivery was late and the wrong item was inside. Support never answered.,no
A1006,web,3,86.98,Réception sans problème et tout fonctionne comme décrit. Je recommanderais volontiers.,yes
A1007,mobile app,2,77.59,Fast shipping and the quality is excellent. Would order again.,yes
A1008,web,8,23.18,Delivered to the wrong address and the product stopped working. Support never answered.,no
A1009,store,4,47.05,Arrivé fêlé et rien ne fonctionne comme décrit. Le service n'a jamais répondu.,no
A1010,store,4,111.64,Livré en avance et la taille est parfaite. Rien à redire.,yes
A1011,mobile app,6,77.04,Arrivé cassé et il a cassé après deux jours. Je demande un remboursement.,no
A1012,web,1,52.9,Delivery was fast and the build quality feels premium. Support was helpful too.,yes
A1013,mobile app,4,44.83,Package arrived on time and the material feels solid. Great value for the price.,yes
A1014,phone,6,36.39,Arrived cracked and nothing works as described. Would not order again.,no
A1015,web,4,34.76,Arrived two days early and the quality is excellent. Great value for the price.,yes
A1016,web,5,51.2,Delivery was fast and everything works as described. Excellent overall.,yes
A1017,mobile app,4,56.35,Livraison rapide et la matière semble solide. Rien à redire.,yes
A1018,store,6,26.12,Le carton était abîmé et la qualité est mauvaise. Je ne recommanderai pas.,no
A1019,mobile app,7,86.75,The box was damaged and it broke after two days. Asking for a refund now.,no
A1020,web,5,136.58,Fast shipping and it works exactly as expected. Very happy with this order.,yes
A1021,store,9,123.9,"Ordered on Monday, arrived Wednesday and the quality is excellent. Nothing to complain about.",yes
A1022,store,7,90.23,"Commandé lundi, reçu mercredi et la qualité est excellente. Très content de cette commande.",yes
A1023,web,8,90.0,Fast shipping and it works exactly as expected. Very happy with this order.,yes
A1024,web,5,102.56,"Commandé lundi, reçu mercredi et la qualité est excellente. Le service a bien répondu.",yes
A1025,web,3,41.44,Expédition interminable et le produit est tombé en panne. Toujours pas de remboursement.,yes
A1026,mobile app,1,79.01,Arrived broken and the material feels cheap. Asking for a refund now.,no
A1027,store,2,80.78,Trois semaines d'attente et il ne fonctionne pas du tout. Mes courriels sont restés sans réponse.,no
A1028,store,1,58.95,Livraison rapide et la taille est parfaite. Je recommande sans hésiter.,no
A1029,mobile app,7,81.28,Arrived broken and the product stopped working. Would not order again.,no
A1030,phone,2,48.67,Expédition interminable et la qualité est mauvaise. Je ne recommanderai pas.,no
A1031,store,4,87.81,Fast shipping and everything works as described. Would order again.,yes
A1032,mobile app,3,45.37,Livraison en retard et le produit est tombé en panne. Je demande un remboursement.,no
A1033,phone,3,84.85,Shipping was quick and the product works perfectly. Would order again.,yes
A1034,web,4,38.81,Arrived cracked and it broke after two days. Still waiting for a refund.,no
A1035,phone,2,64.15,Delivery was fast and the product works perfectly. Recommend it without hesitation.,yes
A1036,store,5,137.56,Trois semaines d'attente et il a cassé après deux jours. Je demande un remboursement.,yes
A1037,store,2,54.26,Shipping was quick and the material feels solid. Would order again.,yes
